company_id,company_code,plant_code,storage_location,material_code,material_desc,material_uom,batch,quantity,material_type,material_group,material_group_desc,variety_type,variety,crop_type,crop_group,stl,odv,got,elisa,status,material_code_id
1,1100,1000,83,CHE-CLEAR-W-BLUE.4,Polymer - Little'S Polykote - Ws-Blue.4,L,P-825,1.26,HIBE,201,Chemicals-Seed Trea,CHEMICAL,,,,,,,,1,201
2,1100,1000,6,CHE-CLEAR-W-YELLOW,Polymer - NUZI YELLOW,L,P-733,57.009,HIBE,201,Chemicals-Seed Trea,CHEMICAL,,,,,,,,1,201
3,1100,1000,83,CHE-D-CARBO-PINK,Chemical D-CARBO-PINK,L,KIQ-0005,3.249,HIBE,201,Chemicals-Seed Trea,CHEMICAL,,,,,,,,1,201
4,1100,1000,83,CHE-DISCO-AG-RED,DISCO AGRO SPECIAL RED - L200,L,2020022401,0.987,HIBE,201,Chemicals-Seed Trea,CHEMICAL,,,,,,,,1,201
5,1100,1000,6,CHE-LOC-10,Chemical-Lambda-Cyhalothrin-LOC-10,KG,S/KRE-21,0.501,HIBE,201,Chemicals-Seed Trea,CHEMICAL,,FIELD CROPS,,,,,,1,201
6,1100,1000,6,CHE-SEEDKING-WHITE,Chemical-Seed King Extra White,L,SKEW21793,68.025,HIBE,201,Chemicals-Seed Trea,CHEMICAL,,,,A,,,,1,201
7,1100,1000,83,CHE-THIAMETXM-WHIT,Chemical - THIAMETHOXAM WHITE,L,UJQ-0001,3.076,HIBE,201,Chemicals-Seed Trea,CHEMICAL,,,,,,,,1,201
8,1100,1000,6,CHE-WD-RED 01AV,Chemical-Pink Polymer WD Red 01AV,L,Q-438,36.009,HIBE,201,Chemicals-Seed Trea,CHEMICAL,,,,,,,,1,201
9,1100,1000,6,CHE-YASHIKA-350FS,Chemical-YASHIKA 350FS RED,L,YASR-18090,30,HIBE,201,Chemicals-Seed Trea,CHEMICAL,,,,,,,,1,201
10,1100,1000,83,CHE-YASHIKA-350FS,Chemical-YASHIKA 350FS RED,L,YASR20894,1.774,HIBE,201,Chemicals-Seed Trea,CHEMICAL,,,,,,,,1,201
11,1100,1000,CSE3,COT-FS-SELF-BS,FS COTTON BULKSEED COT-FS-SELF-BS,KG,10601,1685.15,ZBLK,601,Cotton Foundation,FOUNDATION,COT-SELF-FS,FIBER CROPS,COTTON,,,,,1,601
12,1100,1000,6,COT-FS-SELF-CS,FS COTTON CLEANSEED COT-FS-SELF-CS,KG,10601,2639,HALB,601,Cotton Foundation,FOUNDATION,COT-SELF-FS,FIBER CROPS,COTTON,,,,,1,601
13,1100,1000,CSE3,COT-FS-SELF-CS,FS COTTON CLEANSEED COT-FS-SELF-CS,KG,10601,81915.135,HALB,601,Cotton Foundation,FOUNDATION,COT-SELF-FS,FIBER CROPS,COTTON,,,,,1,601
14,1100,1000,CSE3,COT-FS-SELF-LS,FS COTTON LINTEDSEED COT-FS-SELF-LS,KG,10601,2585,ZLNS,601,Cotton Foundation,FOUNDATION,COT-SELF-FS,FIBER CROPS,COTTON,,,,,1,601
15,1100,1000,CSE3,GMS-1721B-FS-CS,FS COTTON CLEANSEED GMS-1721B-FS-CS,KG,21737667,39,HALB,601,Cotton Foundation,FOUNDATION,GMS-1721B,FIBER CROPS,COTTON,,,,,1,601
16,1100,1000,CSE3,GMS-2725-FS-CS,FS COTTON CLEANSEED GMS-2725-FS-CS,KG,21737651,31,HALB,601,Cotton Foundation,FOUNDATION,GMS-2725,FIBER CROPS,COTTON,,,,,1,601
17,1100,1000,CSE3,GMS-2725-FS-CS,FS COTTON CLEANSEED GMS-2725-FS-CS,KG,21737652,28,HALB,601,Cotton Foundation,FOUNDATION,GMS-2725,FIBER CROPS,COTTON,,,,,1,601
18,1100,1000,CSE3,GMS-2725-FS-CS,FS COTTON CLEANSEED GMS-2725-FS-CS,KG,21737653,200,HALB,601,Cotton Foundation,FOUNDATION,GMS-2725,FIBER CROPS,COTTON,,,,,1,601
19,1100,1000,CSE3,GMS-2725-FS-CS,FS COTTON CLEANSEED GMS-2725-FS-CS,KG,21737654,155,HALB,601,Cotton Foundation,FOUNDATION,GMS-2725,FIBER CROPS,COTTON,,,,,1,601
20,1100,1000,CSE3,GMS-2725-FS-CS,FS COTTON CLEANSEED GMS-2725-FS-CS,KG,21737655,135,HALB,601,Cotton Foundation,FOUNDATION,GMS-2725,FIBER CROPS,COTTON,,,,,1,601
21,1100,1000,CSE3,GMS-2725-FS-CS,FS COTTON CLEANSEED GMS-2725-FS-CS,KG,21737656,33,HALB,601,Cotton Foundation,FOUNDATION,GMS-2725,FIBER CROPS,COTTON,,,,,1,601
22,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21723447,180,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
23,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21723448,100,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
24,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21737657,45,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
25,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21737658,36,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
26,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21737659,61,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
27,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21737660,202,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
28,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21737661,34,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
29,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21737662,24,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
30,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21737663,39,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
31,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21737664,38,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
32,1100,1000,CSE3,GMS-2728-FS-CS,FS COTTON CLEANSEED GMS-2728-FS-CS,KG,21737665,76,HALB,601,Cotton Foundation,FOUNDATION,GMS-2728,FIBER CROPS,COTTON,,,,,1,601
33,1100,1000,CSE3,GMS-2729-FS-CS,FS COTTON CLEANSEED GMS-2729-FS-CS,KG,21737666,14,HALB,601,Cotton Foundation,FOUNDATION,GMS-2729,FIBER CROPS,COTTON,,,,,1,601
34,1100,1000,CSE3,GMS-2729-FS-CS,FS COTTON CLEANSEED GMS-2729-FS-CS,KG,21737674,40,HALB,601,Cotton Foundation,FOUNDATION,GMS-2729,FIBER CROPS,COTTON,,,,,1,601
35,1100,1000,CSE3,GMS-2729-FS-CS,FS COTTON CLEANSEED GMS-2729-FS-CS,KG,21737675,58,HALB,601,Cotton Foundation,FOUNDATION,GMS-2729,FIBER CROPS,COTTON,,,,,1,601
36,1100,1000,6,NBH-209-FS-F-P600G,FS BHENDI NBH-209-FS-F-P600G FOR SOWING,G,5515051,0.2,FERT,618,Bhendi Foundation,HYBRID,NBH-209,VEGETABLES,BHENDI,,,,,1,618
37,1100,1000,6,NBH-209-FS-F-P600G,FS BHENDI NBH-209-FS-F-P600G FOR SOWING,G,552526,0.2,FERT,618,Bhendi Foundation,HYBRID,NBH-209,VEGETABLES,BHENDI,,,,,1,618
38,1100,1000,CSE3,NC-102A-FS-CS,FS COTTON CLEANSEED NC-102A-FS-CS,KG,21750001,224,HALB,601,Cotton Foundation,FOUNDATION,NC-102A,FIBER CROPS,COTTON,,,,,1,601
39,1100,1000,CSE3,NC-102A-FS-CS,FS COTTON CLEANSEED NC-102A-FS-CS,KG,21750001A,222,HALB,601,Cotton Foundation,FOUNDATION,NC-102A,FIBER CROPS,COTTON,,,,,1,601
40,1100,1000,CSE3,NC-102A-FS-CS,FS COTTON CLEANSEED NC-102A-FS-CS,KG,21750001B,224,HALB,601,Cotton Foundation,FOUNDATION,NC-102A,FIBER CROPS,COTTON,,,,,1,601
41,1100,1000,CSE3,NC-102A-FS-CS,FS COTTON CLEANSEED NC-102A-FS-CS,KG,21750001C,297,HALB,601,Cotton Foundation,FOUNDATION,NC-102A,FIBER CROPS,COTTON,,,,,1,601
42,1100,1000,CSE3,NC-102A-FS-CS,FS COTTON CLEANSEED NC-102A-FS-CS,KG,21750001D,224,HALB,601,Cotton Foundation,FOUNDATION,NC-102A,FIBER CROPS,COTTON,,,,,1,601
43,1100,1000,CSE3,NC-105-FS-CS,FS COTTON CLEANSEED NC-105-FS-CS,KG,21730423,38,HALB,601,Cotton Foundation,FOUNDATION,NC-105,FIBER CROPS,COTTON,,,,,1,601
44,1100,1000,CSE3,NC-105-FS-CS,FS COTTON CLEANSEED NC-105-FS-CS,KG,21730423A,34,HALB,601,Cotton Foundation,FOUNDATION,NC-105,FIBER CROPS,COTTON,,,,,1,601
45,1100,1000,CSE3,NC-105-FS-CS,FS COTTON CLEANSEED NC-105-FS-CS,KG,21730423B,14,HALB,601,Cotton Foundation,FOUNDATION,NC-105,FIBER CROPS,COTTON,,,,,1,601
46,1100,1000,CSE3,NC-105-FS-CS,FS COTTON CLEANSEED NC-105-FS-CS,KG,21730423C,7,HALB,601,Cotton Foundation,FOUNDATION,NC-105,FIBER CROPS,COTTON,,,,,1,601
47,1100,1000,CSE3,NC-1102R-FS-CS,FS COTTON CLEANSEED NC-1102R-FS-CS,KG,21723469,8,HALB,601,Cotton Foundation,FOUNDATION,NC-1102R,FIBER CROPS,COTTON,,,,,1,601
48,1100,1000,CSE3,NC-1102R-FS-CS,FS COTTON CLEANSEED NC-1102R-FS-CS,KG,21723472,19,HALB,601,Cotton Foundation,FOUNDATION,NC-1102R,FIBER CROPS,COTTON,,,,,1,601
49,1100,1000,CSE3,NC-1102R-FS-CS,FS COTTON CLEANSEED NC-1102R-FS-CS,KG,21723477,10,HALB,601,Cotton Foundation,FOUNDATION,NC-1102R,FIBER CROPS,COTTON,,,,,1,601
50,1100,1000,CSE3,NC-1212A-FS-F-P400,FS COTTON NC-1212A-FS-F-P400G FOR SOWING,G,500009,400,FERT,601,Cotton Foundation,BT2,NC-1212A,FIBER CROPS,COTTON,,,,,1,601
51,1100,1000,CSE3,NC-1212A-FS-M-P200,FS COTTON NC-1212A-FS-M-P200G FOR SOWING,G,505753,200,FERT,601,Cotton Foundation,BT2,NC-1212A,FIBER CROPS,COTTON,,,,,1,601
52,1100,1000,CSE3,NC-1213-FS-F-P300G,FS COTTON NC-1213-FS-F-P300G FOR SOWING,G,603214,4200,FERT,601,Cotton Foundation,BT2,NC-1213,FIBER CROPS,COTTON,,,,,1,601
53,1100,1000,CSE3,NC-1213-FS-M-P175G,FS COTTON NC-1213-FS-M-P175G FOR SOWING,G,607560,700,FERT,601,Cotton Foundation,BT2,NC-1213,FIBER CROPS,COTTON,,,,,1,601
54,1100,1000,6,NC-1215-FS-F-P400G,FS COTTON NC-1215-FS-F-P400G FOR SOWING,G,518716C,5600,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
55,1100,1000,6,NC-1215-FS-F-P400G,FS COTTON NC-1215-FS-F-P400G FOR SOWING,G,518936,40000,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
56,1100,1000,CSE3,NC-1215-FS-F-P400G,FS COTTON NC-1215-FS-F-P400G FOR SOWING,G,500008,2400,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
57,1100,1000,6,NC-1215-FS-F-P600G,FS COTTON NC-1215-FS-F-P600G FOR SOWING,G,518716B,1200,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
58,1100,1000,6,NC-1215-FS-M-P150G,FS COTTON NC-1215-FS-M-P150G FOR SOWING,G,513755,2100,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
59,1100,1000,6,NC-1215-FS-M-P200G,FS COTTON NC-1215-FS-M-P200G FOR SOWING,G,501003,800,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
60,1100,1000,6,NC-1215-FS-M-P200G,FS COTTON NC-1215-FS-M-P200G FOR SOWING,G,513755,14800,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
61,1100,1000,6,NC-1215-FS-M-P200G,FS COTTON NC-1215-FS-M-P200G FOR SOWING,G,517559A,4400,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
62,1100,1000,6,NC-1215-FS-M-P300G,FS COTTON NC-1215-FS-M-P300G FOR SOWING,G,517561,900,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
63,1100,1000,6,NC-1215-FS-M-P400G,FS COTTON NC-1215-FS-M-P400G FOR SOWING,G,510001,1200,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
64,1100,1000,CSE3,NC-1215-FS-M-P400G,FS COTTON NC-1215-FS-M-P400G FOR SOWING,G,510001,6800,FERT,601,Cotton Foundation,BT2,NC-1215,FIBER CROPS,COTTON,,,,,1,601
65,1100,1000,CSE3,NC-1219-FS-F-P140G,FS COTTON NC-1219-FS-F-P140G FOR SOWING,G,512041,21280,FERT,601,Cotton Foundation,BT2,NC-1219,FIBER CROPS,COTTON,,,,,1,601
66,1100,1000,CSE3,NC-1219-FS-M-P70G,FS COTTON NC-1219-FS-M-P70G FOR SOWING,G,599999,12320,FERT,601,Cotton Foundation,BT2,NC-1219,FIBER CROPS,COTTON,,,,,1,601
67,1100,1000,CSE3,NC-1220-FS-F-P140G,FS COTTON NC-1220-FS-F-P140G FOR SOWING,G,519101E,2520,FERT,601,Cotton Foundation,BT2,NC-1220,FIBER CROPS,COTTON,,,,,1,601
68,1100,1000,CSE3,NC-1244-FS-F-P600G,FS COTTON NC-1244-FS-F-P600G FOR SOWING,G,513939,600,FERT,601,Cotton Foundation,BT2,NC-1244,FIBER CROPS,COTTON,,,,,1,601
69,1100,1000,CSE3,NC-1244-FS-M-P150G,FS COTTON NC-1244-FS-M-P150G FOR SOWING,G,511012,150,FERT,601,Cotton Foundation,BT2,NC-1244,FIBER CROPS,COTTON,,,,,1,601
70,1100,1000,CSE3,NC-1252-FS-M-P150G,FS COTTON NC-1252-FS-M-P150G FOR SOWING,G,510054,1950,FERT,601,Cotton Foundation,BT2,NC-1252,FIBER CROPS,COTTON,,,,,1,601
71,1100,1000,CSE3,NC-1424-FS-F-P600G,FS COTTON NC-1424-FS-F-P600G FOR SOWING,G,511012,2400,FERT,601,Cotton Foundation,BT2,NC-1321,FIBER CROPS,COTTON,,,,,1,601
72,1100,1000,CSE3,NC-1424-FS-M-P300G,FS COTTON NC-1424-FS-M-P300G FOR SOWING,G,514629,1200,FERT,601,Cotton Foundation,BT2,NC-1424,FIBER CROPS,COTTON,,,,,1,601
73,1100,1000,CSE3,NC-1427-FS-M-P300G,FS COTTON NC-1427-FS-M-P300G FOR SOWING,G,519301,3000,FERT,601,Cotton Foundation,BT2,NC-1427,FIBER CROPS,COTTON,,,,,1,601
74,1100,1000,CSE3,NC-1431-FS-F-P600G,FS COTTON NC-1431-FS-F-P600G FOR SOWING,G,517009,1200,FERT,601,Cotton Foundation,BT2,NC-1431,FIBER CROPS,COTTON,,,,,1,601
75,1100,1000,CSE3,NC-1431-FS-F-P600G,FS COTTON NC-1431-FS-F-P600G FOR SOWING,G,517572,84000,FERT,601,Cotton Foundation,BT2,NC-1431,FIBER CROPS,COTTON,,,,,1,601
76,1100,1000,CSE3,NC-1431-FS-M-P300G,FS COTTON NC-1431-FS-M-P300G FOR SOWING,G,511019,2100,FERT,601,Cotton Foundation,BT2,NC-1431,FIBER CROPS,COTTON,,,,,1,601
77,1100,1000,CSE3,NC-1509-FS-F-P400G,FS COTTON NC-1509-FS-F-P400G FOR SOWING,G,513529,7200,FERT,601,Cotton Foundation,NON BT,NC-1509,FIBER CROPS,COTTON,,,,,1,601
78,1100,1000,CSE3,NC-1509-FS-M-P150G,FS COTTON NC-1509-FS-M-P150G FOR SOWING,G,518745,2700,FERT,601,Cotton Foundation,NON BT,NC-1509,FIBER CROPS,COTTON,,,,,1,601
79,1100,1000,CSE3,NC-1520-FS-F-P600G,FS COTTON NC-1520-FS-F-P600G FOR SOWING,G,517619,4800,FERT,601,Cotton Foundation,NON BT,NC-1520,FIBER CROPS,COTTON,,,,,1,601
80,1100,1000,CSE3,NC-1520-FS-M-P300G,FS COTTON NC-1520-FS-M-P300G FOR SOWING,G,517567,2400,FERT,601,Cotton Foundation,BT2,NC-1520,FIBER CROPS,COTTON,,,,,1,601
81,1100,1000,CSE3,NC-159-FS-CS,FS COTTON CLEANSEED NC-159-FS-CS,KG,21723413,445,HALB,601,Cotton Foundation,FOUNDATION,NC-159,FIBER CROPS,COTTON,,,,,1,601
82,1100,1000,CSE3,NC-1601-FS-F-P600G,FS COTTON NC-1601-FS-F-P600G FOR SOWING,G,517998A,39000,FERT,601,Cotton Foundation,BT2,NC-1601,FIBER CROPS,COTTON,,,,,1,601
83,1100,1000,CSE3,NC-1601-FS-F-P600G,FS COTTON NC-1601-FS-F-P600G FOR SOWING,G,518018,163200,FERT,601,Cotton Foundation,BT2,NC-1601,FIBER CROPS,COTTON,,,,,1,601
84,1100,1000,CSE3,NC-1601-FS-M-P150G,FS COTTON NC-1601-FS-M-P150G FOR SOWING,G,515001A,1200,FERT,601,Cotton Foundation,BT2,NC-1601,FIBER CROPS,COTTON,,,,,1,601
85,1100,1000,CSE3,NC-1601-FS-M-P150G,FS COTTON NC-1601-FS-M-P150G FOR SOWING,G,515002,45900,FERT,601,Cotton Foundation,BT2,NC-1601,FIBER CROPS,COTTON,,,,,1,601
86,1100,1000,CSE3,NC-1601-FS-M-P150G,FS COTTON NC-1601-FS-M-P150G FOR SOWING,G,518745,600,FERT,601,Cotton Foundation,BT2,NC-1601,FIBER CROPS,COTTON,,,,,1,601
87,1100,1000,6,NC-1603-FS-F-P600G,FS COTTON NC-1603-FS-F-P600G FOR SOWING,G,513931,600,FERT,601,Cotton Foundation,BT2,NC-1603,FIBER CROPS,COTTON,,,,,1,601
88,1100,1000,6,NC-1603-FS-F-P600G,FS COTTON NC-1603-FS-F-P600G FOR SOWING,G,513935,1200,FERT,601,Cotton Foundation,BT2,NC-1603,FIBER CROPS,COTTON,,,,,1,601
89,1100,1000,CSE3,NC-1603-FS-F-P600G,FS COTTON NC-1603-FS-F-P600G FOR SOWING,G,513931,97200,FERT,601,Cotton Foundation,BT2,NC-1603,FIBER CROPS,COTTON,,,,,1,601
90,1100,1000,CSE3,NC-1603-FS-F-P600G,FS COTTON NC-1603-FS-F-P600G FOR SOWING,G,513932,79200,FERT,601,Cotton Foundation,BT2,NC-1603,FIBER CROPS,COTTON,,,,,1,601
91,1100,1000,CSE3,NC-1603-FS-F-P600G,FS COTTON NC-1603-FS-F-P600G FOR SOWING,G,513934,109200,FERT,601,Cotton Foundation,BT2,NC-1603,FIBER CROPS,COTTON,,,,,1,601
92,1100,1000,CSE3,NC-1603-FS-F-P600G,FS COTTON NC-1603-FS-F-P600G FOR SOWING,G,513935,188400,FERT,601,Cotton Foundation,BT2,NC-1603,FIBER CROPS,COTTON,,,,,1,601
93,1100,1000,CSE3,NC-1603-FS-F-P600G,FS COTTON NC-1603-FS-F-P600G FOR SOWING,G,513936,60600,FERT,601,Cotton Foundation,BT2,NC-1603,FIBER CROPS,COTTON,,,,,1,601
94,1100,1000,CSE3,NC-1603-FS-M-P150G,FS COTTON NC-1603-FS-M-P150G FOR SOWING,G,518504C,129900,FERT,601,Cotton Foundation,BT2,NC-1603,FIBER CROPS,COTTON,,,,,1,601
95,1100,1000,6,NC-1627-FS-F-P600G,FS COTTON NC-1627-FS-F-P600G FOR SOWING,G,513214A,1800,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
96,1100,1000,CSE3,NC-1627-FS-F-P600G,FS COTTON NC-1627-FS-F-P600G FOR SOWING,G,503214A,600,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
97,1100,1000,CSE3,NC-1627-FS-F-P600G,FS COTTON NC-1627-FS-F-P600G FOR SOWING,G,513214,1200,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
98,1100,1000,6,NC-1627-FS-M-P400G,FS COTTON NC-1627-FS-M-P400G FOR SOWING,G,518495,400,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
99,1100,1000,CSE3,NC-1627-FS-M-P400G,FS COTTON NC-1627-FS-M-P400G FOR SOWING,G,512388,3200,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
100,1100,1000,CSE3,NC-1627-FS-M-P400G,FS COTTON NC-1627-FS-M-P400G FOR SOWING,G,513569A,400,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
101,1100,1000,CSE3,NC-1627-FS-M-P400G,FS COTTON NC-1627-FS-M-P400G FOR SOWING,G,513625,1200,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
102,1100,1000,CSE3,NC-1627-FS-M-P400G,FS COTTON NC-1627-FS-M-P400G FOR SOWING,G,514047,400,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
103,1100,1000,CSE3,NC-1627-FS-M-P400G,FS COTTON NC-1627-FS-M-P400G FOR SOWING,G,514071,400,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
104,1100,1000,CSE3,NC-1627-FS-M-P400G,FS COTTON NC-1627-FS-M-P400G FOR SOWING,G,518494,400,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
105,1100,1000,CSE3,NC-1627-FS-M-P400G,FS COTTON NC-1627-FS-M-P400G FOR SOWING,G,518496,400,FERT,601,Cotton Foundation,BT2,NC-1627,FIBER CROPS,COTTON,,,,,1,601
106,1100,1000,CSE3,NC-2118-FS-CS,FS COTTON CLEANSEED NC-2118-FS-CS,KG,21730235,226,HALB,601,Cotton Foundation,FOUNDATION,NC-2118,FIBER CROPS,COTTON,,,,,1,601
107,1100,1000,CSE3,NC-2191-FS-CS,FS COTTON CLEANSEED NC-2191-FS-CS,KG,21723411,530,HALB,601,Cotton Foundation,FOUNDATION,NC-2191,FIBER CROPS,COTTON,,,,,1,601
108,1100,1000,CSE3,NC-2191-FS-CS,FS COTTON CLEANSEED NC-2191-FS-CS,KG,21723411A,71,HALB,601,Cotton Foundation,FOUNDATION,NC-2191,FIBER CROPS,COTTON,,,,,1,601
109,1100,1000,CSE3,NC-2191-FS-CS,FS COTTON CLEANSEED NC-2191-FS-CS,KG,21723412,748,HALB,601,Cotton Foundation,FOUNDATION,NC-2191,FIBER CROPS,COTTON,,,,,1,601
110,1100,1000,CSE3,NC-2191-FS-CS,FS COTTON CLEANSEED NC-2191-FS-CS,KG,21723412A,177,HALB,601,Cotton Foundation,FOUNDATION,NC-2191,FIBER CROPS,COTTON,,,,,1,601
111,1100,1000,CSE3,NC-2191-FS-CS,FS COTTON CLEANSEED NC-2191-FS-CS,KG,21730250,724,HALB,601,Cotton Foundation,FOUNDATION,NC-2191,FIBER CROPS,COTTON,,,,,1,601
112,1100,1000,CSE3,NC-2191-FS-CS,FS COTTON CLEANSEED NC-2191-FS-CS,KG,21730250A,38,HALB,601,Cotton Foundation,FOUNDATION,NC-2191,FIBER CROPS,COTTON,,,,,1,601
113,1100,1000,CSE3,NC-2191-FS-CS,FS COTTON CLEANSEED NC-2191-FS-CS,KG,21730269,76,HALB,601,Cotton Foundation,FOUNDATION,NC-2191,FIBER CROPS,COTTON,,,,,1,601
114,1100,1000,CSE3,NC-2191-FS-CS,FS COTTON CLEANSEED NC-2191-FS-CS,KG,21730285A,120,HALB,601,Cotton Foundation,FOUNDATION,NC-2191,FIBER CROPS,COTTON,,,,,1,601
115,1100,1000,CSE3,NC-2191-FS-CS,FS COTTON CLEANSEED NC-2191-FS-CS,KG,21730286A,28,HALB,601,Cotton Foundation,FOUNDATION,NC-2191,FIBER CROPS,COTTON,,,,,1,601
116,1100,1000,CSE3,NC-2191-FS-CS,FS COTTON CLEANSEED NC-2191-FS-CS,KG,21730300A,23,HALB,601,Cotton Foundation,FOUNDATION,NC-2191,FIBER CROPS,COTTON,,,,,1,601
117,1100,1000,CSE3,NC-2193-FS-CS,FS COTTON CLEANSEED NC-2193-FS-CS,KG,21723415A,152,HALB,601,Cotton Foundation,FOUNDATION,NC-2193,FIBER CROPS,COTTON,,,,,1,601
118,1100,1000,CSE3,NC-2193-FS-CS,FS COTTON CLEANSEED NC-2193-FS-CS,KG,21723470,66,HALB,601,Cotton Foundation,FOUNDATION,NC-2193,FIBER CROPS,COTTON,,,,,1,601
119,1100,1000,CSE3,NC-2193-FS-CS,FS COTTON CLEANSEED NC-2193-FS-CS,KG,21723471,296,HALB,601,Cotton Foundation,FOUNDATION,NC-2193,FIBER CROPS,COTTON,,,,,1,601
120,1100,1000,CSE3,NC-2193-FS-CS,FS COTTON CLEANSEED NC-2193-FS-CS,KG,21723473,422,HALB,601,Cotton Foundation,FOUNDATION,NC-2193,FIBER CROPS,COTTON,,,,,1,601
121,1100,1000,CSE3,NC-2193-FS-CS,FS COTTON CLEANSEED NC-2193-FS-CS,KG,21723474,152,HALB,601,Cotton Foundation,FOUNDATION,NC-2193,FIBER CROPS,COTTON,,,,,1,601
122,1100,1000,CSE3,NC-2193-FS-CS,FS COTTON CLEANSEED NC-2193-FS-CS,KG,21723475,54,HALB,601,Cotton Foundation,FOUNDATION,NC-2193,FIBER CROPS,COTTON,,,,,1,601
123,1100,1000,CSE3,NC-2193-FS-CS,FS COTTON CLEANSEED NC-2193-FS-CS,KG,21723476,99,HALB,601,Cotton Foundation,FOUNDATION,NC-2193,FIBER CROPS,COTTON,,,,,1,601
124,1100,1000,CSE3,NC-2193-FS-CS,FS COTTON CLEANSEED NC-2193-FS-CS,KG,21723478,132,HALB,601,Cotton Foundation,FOUNDATION,NC-2193,FIBER CROPS,COTTON,,,,,1,601
125,1100,1000,CSE3,NC-2193-FS-CS,FS COTTON CLEANSEED NC-2193-FS-CS,KG,21723479,93,HALB,601,Cotton Foundation,FOUNDATION,NC-2193,FIBER CROPS,COTTON,,,,,1,601
126,1100,1000,CSE3,NC-2193-FS-CS,FS COTTON CLEANSEED NC-2193-FS-CS,KG,21723480,89,HALB,601,Cotton Foundation,FOUNDATION,NC-2193,FIBER CROPS,COTTON,,,,,1,601
